"","Year","sets","BUM","lat","lon","hbf","season"
"542",1991,20,18,-6,-17.5,24,1
"543",1991,20,34,-8.5,-18.5,24,1
"544",1991,8,6,-5.5,-21,24,1
"545",1991,53,21,-7.5,-1.5,24,1
"546",1991,31,26,-2.5,-7.5,24,1
"547",1991,20,17,-4.5,-7.5,24,4
"548",1991,1,0,-13.5,9.5,24,4
"549",1991,20,27,-6.5,-19.5,24,4
"550",1991,20,28,-9.5,-18.5,24,1
"551",1991,20,19,-5.5,-17.5,24,1
"552",1991,20,24,-9.5,-15.5,24,1
"553",1991,1,0,-9.5,-26.5,24,1
"554",1991,20,14,-6.5,-5.5,24,1
"555",1991,6,5,0,-22.5,24,1
"556",1991,20,6,-6.5,-12.5,24,1
"557",1991,24,22,-2,-13,24,1
"558",1991,20,35,-7.5,-24.5,24,2
"559",1991,20,21,-2.5,-21.5,24,2
"560",1991,20,47,-7.5,-24.5,24,2
"561",1991,51,31,-7.5,-12.5,24,2
"562",1991,20,27,-8.5,-16.5,24,2
"563",1991,20,13,-5.5,-15.5,24,2
"564",1991,20,55,-9.5,-22.5,24,2
"565",1991,20,23,-5.5,-24.5,24,2
"566",1991,20,20,-5.5,-23.5,24,3
"567",1991,18,8,-7.5,-6.5,24,3
"568",1991,4,8,-14,-23,24,3
"569",1991,7,0,-19.5,10.5,24,3
"570",1991,71,92,-1.5,-27.5,24,3
"571",1992,9,7,-12.5,-7.5,24,1
"572",1992,20,22,-6.5,-18.5,24,1
"573",1992,20,14,-7.5,-16.5,24,1
"574",1992,20,24,-5.5,-23.5,24,1
"575",1992,20,23,-5.5,-22.5,24,1
"576",1992,20,20,-1.5,-18.5,24,1
"577",1992,20,42,-4.5,-23.5,24,1
"578",1992,37,3,-12.5,7.5,24,4
"579",1992,16,10,-2,-26.5,24,4
"580",1992,20,0,-18.5,8.5,24,4
"581",1992,20,24,-9.5,-17.5,24,4
"582",1992,20,20,-6.5,-17.5,24,4
"583",1992,14,11,-2.5,-27,24,4
"584",1992,20,10,-3.5,-6.5,24,4
"585",1992,20,11,-4.5,-0.5,24,4
"586",1992,20,12,-3.5,-2.5,24,4
"587",1992,20,24,-8.5,-12,24,1
"588",1992,20,24,-6.5,-19.5,24,1
"589",1992,20,25,-6.5,-18.5,24,1
"590",1992,20,22,-7.5,-7.5,24,1
"591",1992,1,1,-33.5,-9.5,24,1
"592",1992,20,54,-9.5,-21.5,24,2
"593",1992,20,27,-5.5,-23.5,24,2
"594",1992,20,29,-6.5,-19,24,2
"595",1992,2,0,-32,15.5,24,3
"596",1993,20,10,-5.5,-11.5,24,1
"597",1993,20,20,-7.5,-13.5,24,1
"598",1993,20,7,-9.5,-8.5,24,1
"599",1993,20,12,-5.5,-5.5,24,1
"600",1993,20,15,-8.5,-7.5,24,1
